,Text,Sentiment Score,Sentiment Label
0,Tweet_Tokens,0.0,netral
1,ernestprakasa     kkn            desa            tari       warkop         dki          abdi         setan       dil          cetak       angka        box         office       indonesia,0.0,netral
2,itzyjlsu          woe            kembang         desa       kkn            desa         tari,0.0,netral
3,moviemenfes       film           lokal           gak        laris          tayang       film         emang       film         lokal       aja          kalah       saing        isi,0.0,netral
4,petirbaelish      tanyarlfes     oh              rt         petirbaelish   tanyarlfes   anak         twitter     dah          alami       mbak         bibit       unggul       amrazing,0.0,netral
5,winddflowerrr     desa           tari,0.0,netral
6,alhevk            gatau          aja             kmu        kades          desa         tari,0.0,netral
7,sempet            jarang         main            twitter    kali           sekali       buka         liat        thread       kkn         desa         tari,0.0,netral
8,kkn               desa           tari            sih,0.0,netral
9,tanyarlfes        adora          hilman          yg         bikin          twitter      wkwk         chatime     kkn          desa        tari         safa        berflower    yaa,0.0,netral
10,tanyarlfes        skinnyfab      afi             cappadocia ugly           cake         kkn          desa        tari         reinhard,-3.0,negatif
11,haloodhita        langitponpel   ketemu          pas        kkn            desa         tari,0.0,netral
12,tanyarlfes        kkn            desa            tari       ga             sih,0.0,netral
13,nonton            kkn            desa            tari,0.0,netral
14,sukma             still          stuck           desa       tari,-2.0,negatif
15,mksdnya           gmn            kirim           bwi        kirim          desa         tari        kah          https        co          uvjxalwwev,0.0,netral
16,optirmal          mandi          kolam           air        desa           tari         wkwkwkwwkwkw,0.0,netral
17,tau               yg             zaman           yg         menfess        yg           gatau       kecuali      kkn          desa        tari         pas         sekolah      asrama,0.0,netral
18,betemaxx          bocahkacang viniranika         tanyakanrl rzlfbrnt       iki          seng        ng           kkn          desa        tari         ta,0.0,netral
19,andrianmaul       kkn            desa            tari,0.0,netral
20,tanyarlfes        cerita         kkn             desa       tari,0.0,netral
21,tanyarlfes        gilang         bungkus         kkn        desa           tari,0.0,netral
22,kkn               desa           tari            iblis      jemput         kkn          lancelot,0.0,netral
23,tanyarlfes        safa           waluh           kukus      air            putih        kkn          desa        tari         template    orang        ngetawain   ngejokes     gempar,0.0,netral
24,tanyarlfes        space          safa            waluh      kukus          kkn          desa         tari        afi          pribadi     gilang       bungkus     audrey       naga,0.0,netral
25,habisnontonfilm   simplem        jameschne       brrti      cerita         kkn          desa         tari        marketing    ya          huhuhu,0.0,netral
26,tanyarlfes        thread         sugar           daddy      yg             dokter       ama          kkn         desa         tari,0.0,netral
27,tanyarlfes        kkn            desa            tari       sii,0.0,netral
28,tanyarlfes        lol            tau             chatime    skinnyfab      kkn          desa         tari        safa         space       sepatu       docmart     waluh        kukus,3.0,positif
29,ragasea           anxious        people          perca      perca          bahasa       kkn          desa        tari         ivanna      van          dijk        bonus        divergent,-2.0,negatif
30,bima              kkn            desa            tari,0.0,netral
31,tanyarlfes        gua            tau             waluh      kukus          kkn          desa         tari        cowo         kacamata    safa         space       gua          ga,0.0,netral
32,plunyon           kalikuning     adlh            destinasi  wisata         alam         kawasan      taman       nasional     gunung      rapi         tngm        yg           milik,0.0,netral
33,tanyarlfes        kkn            desa            tari,0.0,netral
34,kkn               desa           tari            lekat      wkwkwk,0.0,netral
35,tanyarlfes        kkn            desa            tari,0.0,netral
36,tanyarlfes        kkn            desa            tari       wakil          hwang        renjun       mbak        nuri,0.0,netral
37,legend            memoriable     justiceforaudreykkn        desa           tari         mn           bus         l            w           space        safa        afi,0.0,netral
38,tanyarlfes        thread         kkn             desa       tari           woey         merinding    anj,0.0,netral
39,bgtt              salah          kesan           zaman      perang         ht           omnibus      law         trus         ad          jadi         gilang      bungkus      kkn,0.0,netral
40,thread            kkn            desa            tari       sih,0.0,netral
41,tanyarlfes        kkn            desa            tari,0.0,netral
42,tanyarlfes        space          safa            afi        nihaya         imroatus     waluh        kukus       kkn          desa        tari,0.0,netral
43,tanyarlfes        justice        audrey          kkn        desa           tari,2.0,positif
44,tanyarlfes        kkn            desa            tari,0.0,netral
45,safa              maknya         hwang           renjun     yg             spill        si           chatime     yg           suka        ngomong      british     lupa         nama,0.0,netral
46,kkn               desa           tari            teaser     coming         soon         https        co          pq           kd          mmlh,0.0,netral
47,tanyarlfes        wakil          hwang           renjun     na             jaemin       yg           dosen       kader        g           lk           r           imroatus     mahasiswa,0.0,netral
48,lafilledhvver     astaghfirullah del             wgwgwgwggwgnyari          lagu         karna        udah        tau          kkn         desa         tari        wgwgwggw,0.0,netral
49,kxchunga          astg           kkn             desa       tari           lot          bgt          otak        https        co          tchpqddr     w,0.0,netral
50,tanyarlfes        waluh          kukus           safa       vs             na           jaemin       hwang       renjun       kkn         desa         tari,0.0,netral
51,kkn               desa           tari            legend     sih            anak         yg           basic       nya          ga          suka         horor       baca         sampe,0.0,netral
52,moviemenfes       kemaren        desa            tari       film           baik         tayang       pas         lebaran      jt          tonton       cuy         harga        tiket,0.0,netral
53,tanyarlfes        kkn            desa            tari       sampe          jd           film         ter         gegerrr,0.0,netral
54,dika              ceanix         tanyarlfes      jujur      rem            pocong       ririn        drpd        kkn          desa        tari         gw          mean         kyk,0.0,netral
55,imroatus          safa           space           malu       mf             tali         tambang      ava         mark         ijo         tosca        afi         nihaya       sabrina,0.0,netral
56,tanyarlfes        naren          golkar          tukang     bungkus        kkn          desa         tari        trit         horor       famous       yg          malu         dinding,2.0,positif
57,tanyarlfes        kkn            desa            tari       sii            kalo         gw,0.0,netral
58,tanyarlfes        kkn            desa            tari,0.0,netral
59,tanyarlfes        thread         kkn             desa       tari,0.0,netral
60,tanyarlfes        audrey         safa            waluh      kukus          kkn          desa         tari        chatime      gilang      bungkus      cowo        kacamata     dsb,0.0,netral
61,rubyjeonn         iya            ih              kyk        kkn            desa         tari         trus        skrg         sewu        dino         dll,0.0,netral
62,moviemenfes       film           negeri          pesimis    gitu           coba         liat         sukses      kkn          desa        tari         wkwk,0.0,netral
63,tanyarlfes        ch             time            afi        natalie        space        safa         waluh       kukus        p           c            ng          ririn        kkn,0.0,netral
64,skinnyfabs        digeeembok     afi             nihaya     kkn            desa         tari         arawinda    trs          lg          ya,0.0,netral
65,tanyarlfes        thread         kkn             desa       tari,0.0,netral
66,tanyarlfes        anak           twitter         dah        alami          mbak         bibit        unggul      amrazing     vs          sabrina      joko        anwar        circle,0.0,netral
67,hahahahha         thread         kkn             desa       tari           gak          ya           gue         emg          baca        dluan        rame        trs          tbtb,0.0,netral
68,tanyarlfes        waluh          kukus           kkn        desa           tari,0.0,netral
69,tanyarlfes        wot            wleowleo        orang      tua            sakit        gilaaaa      manusia     beneran      ga          otak         kalo        keinget      suka,0.0,netral
70,intoaura          desa           tari,0.0,netral
