Tweet_Tokens,Subjectivity,Polarity,Analysis
ernestprakasa kkn desa tari warkop dki abdi setan dil cetak angka box office indonesia nggak agenda representasi chindo nggak aktivisme kenal hidup minoritas ajak orang seg seg watch learn ernest https co ci ehwipo,0.0,0.0,netral
itzyjlsu woe kembang desa kkn desa tari,0.0,0.0,netral
moviemenfes film lokal gak laris tayang film emang film lokal aja kalah saing isi horor gabut ama komedi garing doang klo film nya bagus minimal marketingnya bagus lahh bukti kkn desa tari laku wlaupun film garing,0.6,-0.1,negatif
petirbaelish tanyarlfes oh rt petirbaelish tanyarlfes anak twitter dah alami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum chatime skinnyfab kkn desa tari ika natassa cowok kacamata safa space afi sepatu docmart,0.0,0.0,netral
winddflowerrr desa tari,0.0,0.0,netral
alhevk gatau aja kmu kades desa tari,0.0,0.0,netral
sempet jarang main twitter kali sekali buka liat thread kkn desa tari,0.3333333333333333,0.16666666666666666,positif
kkn desa tari sih,0.0,0.0,netral
tanyarlfes adora hilman yg bikin twitter wkwk chatime kkn desa tari safa berflower yaa ak bookmark,0.0,0.0,netral
tanyarlfes skinnyfab afi cappadocia ugly cake kkn desa tari reinhard,1.0,-0.7,negatif
haloodhita langitponpel ketemu pas kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari ga sih,0.0,0.0,netral
nonton kkn desa tari,0.0,0.0,netral
sukma still stuck desa tari,0.0,0.0,netral
mksdnya gmn kirim bwi kirim desa tari kah https co uvjxalwwev,0.0,0.0,netral
optirmal mandi kolam air desa tari wkwkwkwwkwkw,0.0,0.0,netral
tau yg zaman yg menfess yg gatau kecuali kkn desa tari pas sekolah asrama tydack bawa hp,0.0,0.0,netral
betemaxx bocahkacang viniranika tanyakanrl rzlfbrnt iki seng ng kkn desa tari ta,0.0,0.0,netral
andrianmaul kkn desa tari,0.0,0.0,netral
tanyarlfes cerita kkn desa tari,0.0,0.0,netral
tanyarlfes gilang bungkus kkn desa tari,0.0,0.0,netral
kkn desa tari iblis jemput kkn lancelot,0.0,0.0,netral
tanyarlfes safa waluh kukus air putih kkn desa tari template orang ngetawain ngejokes gempar si audrey,0.0,0.0,netral
tanyarlfes space safa waluh kukus kkn desa tari afi pribadi gilang bungkus audrey naga imroatus ketok tembok malu kali audrey mas sih yg horror tp gue lupa like akun satu,0.0,0.0,netral
habisnontonfilm simplem jameschne brrti cerita kkn desa tari marketing ya huhuhu,0.0,0.0,netral
tanyarlfes thread sugar daddy yg dokter ama kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari sii,0.0,0.0,netral
tanyarlfes lol tau chatime skinnyfab kkn desa tari safa space sepatu docmart waluh kukus dama ika natassa yg yaa,0.7,0.8,positif
ragasea anxious people perca perca bahasa kkn desa tari ivanna van dijk bonus divergent bonus prodigy healer damage zonauang zonajajan zonajajan zonaba,1.0,-0.25,negatif
bima kkn desa tari,0.0,0.0,netral
tanyarlfes gua tau waluh kukus kkn desa tari cowo kacamata safa space gua ga aktif ya,0.0,0.0,netral
plunyon kalikuning adlh destinasi wisata alam kawasan taman nasional gunung rapi tngm yg milik pandang alam pesona destinasi ramai bincang media sosial lantar salah lokasi syuting film kkn desa tari megoodh https co whp phjsif,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
kkn desa tari lekat wkwkwk,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari wakil hwang renjun mbak nuri,0.0,0.0,netral
legend memoriable justiceforaudrey kkn desa tari mn bus l w space safa afi,0.0,0.0,netral
tanyarlfes thread kkn desa tari woey merinding anj,0.0,0.0,netral
bgtt salah kesan zaman perang ht omnibus law trus ad jadi gilang bungkus kkn desa tari waluh kukus natalie afi wot snmptn aduh dah pokok kacauuu wkwk,0.0,0.0,netral
thread kkn desa tari sih,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes space safa afi nihaya imroatus waluh kukus kkn desa tari,0.0,0.0,netral
tanyarlfes justice audrey kkn desa tari,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
safa maknya hwang renjun yg spill si chatime yg suka ngomong british lupa nama imroatus thread kkn desa tari yg asha yg pribadi wkwk,0.0,0.0,netral
kkn desa tari teaser coming soon https co pq kd mmlh,0.0,0.0,netral
tanyarlfes wakil hwang renjun na jaemin yg dosen kader g lk r imroatus mahasiswa alien kkn desa tari gilang bungkus predator kacamata yg inggris ngentiaw ortu yg sakit stroke,0.75,-0.25,negatif
lafilledhvver astaghfirullah del wgwgwgwggwg nyari lagu karna udah tau kkn desa tari wgwgwggw,0.0,0.0,netral
kxchunga astg kkn desa tari lot bgt otak https co tchpqddr w,0.0,0.0,netral
tanyarlfes waluh kukus safa vs na jaemin hwang renjun kkn desa tari,0.0,0.0,netral
kkn desa tari legend sih anak yg basic nya ga suka horor baca sampe abis thread nya,0.125,0.0,netral
moviemenfes kemaren desa tari film baik tayang pas lebaran jt tonton cuy harga tiket rb pajak bioskop produser kurleb produser untung kotor miliar,0.0,0.0,netral
tanyarlfes kkn desa tari sampe jd film ter gegerrr,0.0,0.0,netral
dika ceanix tanyarlfes jujur rem pocong ririn drpd kkn desa tari gw mean kyk manusia hidup pocong gis loncat hutan,0.6875,-0.3125,negatif
imroatus safa space malu mf tali tambang ava mark ijo tosca afi nihaya sabrina waluh kukus kkn desa tari deh lupaaa,0.0,0.0,netral
tanyarlfes naren golkar tukang bungkus kkn desa tari trit horor famous yg malu dinding,1.0,0.5,positif
tanyarlfes kkn desa tari sii kalo gw,0.0,0.0,netral
tanyarlfes kkn desa tari,0.0,0.0,netral
tanyarlfes thread kkn desa tari,0.0,0.0,netral
tanyarlfes audrey safa waluh kukus kkn desa tari chatime gilang bungkus cowo kacamata dsb,0.0,0.0,netral
rubyjeonn iya ih kyk kkn desa tari trus skrg sewu dino dll,0.0,0.0,netral
moviemenfes film negeri pesimis gitu coba liat sukses kkn desa tari wkwk,0.0,0.0,netral
tanyarlfes ch time afi natalie space safa waluh kukus p c ng ririn kkn desa tari sih keinget wkwk,0.0,0.0,netral
skinnyfabs digeeembok afi nihaya kkn desa tari arawinda trs lg ya,0.0,0.0,netral
tanyarlfes thread kkn desa tari,0.0,0.0,netral
tanyarlfes anak twitter dah alami mbak bibit unggul amrazing vs sabrina joko anwar circle k triomacan pocong ririn waluh kukus air minum chatime skinnyfab kkn desa tari ika natassa cowok kacamata safa space afi sepatu docmart grindr swindler,0.0,0.0,netral
hahahahha thread kkn desa tari gak ya gue emg baca dluan rame trs tbtb booming bahas dmn,0.0,0.0,netral
tanyarlfes waluh kukus kkn desa tari,0.0,0.0,netral
tanyarlfes wot wleowleo orang tua sakit gilaaaa manusia beneran ga otak kalo keinget suka bikin ituuuu kkn desa tari,0.0,0.0,netral
intoaura desa tari,0.0,0.0,netral
thread simpleman kkn desa tari mcm nk dgn abdi setan def gon na watch,0.0,0.0,netral
coba niat mo bikin universe aksen skript main bahasa jawanya dibenerin minimal kek tisa biani kkn desa tari dah mending gak campur campur kek muleh,0.4666666666666667,0.033333333333333326,positif
kkn desa tari takberani nak tengok baru,0.0,0.0,netral
malam tengok kkn desa tari housemate lepastu dedua jerit hahaha babiii hateee watching movies like keluaaar saka pondan la kakak,0.4,0.2,positif
boysplanetarea bagus nder bagus evil editing pake lagu kkn desa tari,1.0,-1.0,negatif
bayuisa moviemenfes moro maleh desone koyo kkn desa tari enek demit e wkwkwkwkwk,0.0,0.0,netral
thmdn kkn desa tari tengok,0.0,0.0,netral
