text_tokens,klasifikasi
wisata religius depan budaya jawa bersih toilet bersih,positif
kunjung muas fasum toilet kunci toilet musholla lampu mati bersih baik wisatawan kunjung kecewa kecewa bojonegoro matoh,negatif
bagus,positif
bagus penuh nuansa religius serasa zaman raja,positif
indah sejuk,netral
penuh legenda,netral
cocok ken santai hirup pikuk kota sih karna emng masuk hutan kayu jati mantap harga tiket masuk murah cuman rb orang udah parkirnyaa gapura kayangan api wisatnya juah bngt sampe ak nyasar hehe,netral
wisata yg bagus tuk kenal sejarah geologi alam krn situ gas alam sejarah empu tuk keris,positif
api nyala bara batu,netral
klo ken pandang api takjub usaha dateng malam suasana damai,netral
asri,netral
tempat indah cocok wisata keluarga,positif
indah lengkap fasilitas toilet musholla spot foto pendopo adem cocok gathering keluarga kayu jati pilih wisata alam bojonegoro biar gak bosan,positif
wisata budaya lestari promosi icon bawa dampak ekonomi nilai historis,netral
api abadi sumur blukuthuk acara ruwat massal pd thn sakral khitmad,netral
wisata murah riah orang lokasi yg instagramable keliling hutan yg asri,positif
milik spot milik wisata,netral
api nyala hujan wisata bagus informasi kemas tarik wisata bojonegoro tingkat,netral
wisata api abadi pendopo kuliner nya,netral
wisata sejarah empu,netral
cocok giat rombong anak anak ajar sejarah bojonegoro tiket masuk wisata rupiah biaya parkir rupiah,netral
destinasi wisata sejarah jadi alternatif lepas penat harga tiket murah akses jalan lumayan bagus suasana sejuk pepoho bersih tingkat,positif
kalo dagang jagung bakar nya bakar jagung api suruh lapak rusak pandang yg foto,netral
kayangan api bojonegoro tiket masuk klo ga salah org parkir mobil tempat pelihara dgn toilet kran air mati jorok wastafel kran air yg rusak air netes,negatif
wisata jaman raja patut lestari jaga budaya nya,netral
wisata alami asri,positif
mampir kesini lokasi wisata luas rapi makan variasi teduh pohon rindang,positif
oke baget,positif
review lengkap cek channel youtube bocah keluyur,netral
good place visit,netral
hutan jati lebat api hangat badan bakar jagung,netral
seru sama,netral
tempat bagus bersih nyaman piknik bareng teman keluarga mushola dn wc yg bersih cocok sore gk panas,positif
malem yg penuh hangat,netral
tarik kunjung salah destinasi wisata sejarah bojonegoro milik potensi api abadi,netral
wisata edukasi tambah fasilitas publik anak,netral
wisata kayangan api cocok libur keluarga tempat nyaman teduh pepoho sumber apin alam padam,positif
tempat rimbun fasilitas lengkap harga tiket jangkau,positif
wisata kayangan api lokasi kabupaten bojonegoro tiket masuk rp dewasa gratis anak anak unjung indah fenomena geologi api padam nyala api sembul tumpu batu sumber api sembur gas alam asal perut bumi unjung buat senjata pusaka semedi tapa jual souvenir lokasi,netral
bersih,positif
jas merah,netral
tempat nyaman,positif
lokasi adem bagus libur tipis tipis,positif
yah nama publik area,netral
tempat nyaman bersih,positif
lumayan bagus nyepi lokasi nya bersih,positif
,netral
wisata historis nya adem kesan mistis hutan tempa senjata zaman raja majapahit,netral
wisata bojonegoro mana sumber gas nyala api yg kelola wisata,netral
layak kunjung biaya masuk rp orang,netral
fasilitas lengkap saran unjung pakai lotion anti nyamuk kunjung,netral
bersih asri nyaman,positif
angkling dharmo,netral
salah wisata bojonegoro tiket masuk parkir semedi lokasi api kunjung padam,netral
lokasi nyaman santa,netral
tambah keyaki allah swt tuntun rohani salah satu kunjung kayangan api bojonegoro,netral
wisata kayangan api fenomelal,netral
cat nippon paint cat indonesia,netral
kembang yg fasilitas permai yg tarik,netral
bakar jagung api abadi,netral
nyaman gak panas,positif
api bau nya guys gak tau ya bau ku keren banget tempat sejarah,netral
nya cocok rekreasi tema sejarah,netral
cocok wisata libur keluarga moga kembang wisata situs tinggal prasejarah raja majapahit,netral
wisata sejarah kait raja majapahit even olahraga nasional sumber ambil api pon maaf lupa renovasi wisata nyaman tarik kelola tempat hutan faktor ama unjung perhati ziarah teg aman nyaman wis ngono ae,netral
kayangan api salah destinasi wisata bojonegoro letak dander lokasi km pusat kota bojonegoro parkir luas tiket masuk jangkau,netral
recommended panas sepi bengkalai kelola,negatif
saran kesini sore malam hindar cuaca panas sore apa,netral
obyek wisata kesan tp sayang fasilitas dukung air toilet yg hrs perhati,netral
terus benah,netral
tempat sejuk bersih mudah jangka,positif
