text_tokens,klasifikasi,Compound_Score,Sentiments
javanese religious and cultural tourism is clean toilets are clean,positif,0.6597,positif
visit satisfied fasum toilet key toilet prayer room lights off clean good tourists visit disappointed disappointed bojonegoro matoh,negatif,0.296,positif
good,positif,0.4404,positif
nice full of religious nuances feels like the era of the kings,positif,0.6486,positif
beautiful cool,netral,0.7351,positif
full of legends,netral,0.0,netral
it s suitable for relaxing to breathe the hustle and bustle of the city because it s really good to enter a teak wood forest the price of admission is cheap but only a few thousand people have already parked at the heavenly gate the sights are so far away that i got lost hehe,netral,0.7748,positif
a good tour to get to know the history of natural geology because it s the natural gas history of the master of the keris,positif,0.7845,positif
rock flames,netral,0.0,netral
if you look at the fire in amazement you try to come at night it s peaceful,netral,0.6486,positif
beautiful,netral,0.5994,positif
beautiful place suitable for family trips,positif,0.5994,positif
beautiful complete with toilet facilities prayer room photo spot of the pavilion cool suitable for family gatherings teak wood choose natural tourism in bojonegoro so you don t get bored,positif,0.765,positif
sustainable cultural tourism icon promotion brings economic impact historical value,netral,0.34,positif
the eternal fire of the blukutuk well for mass ruwat events in the holy khitmad year,netral,-0.0772,negatif
cheap tours people instagramable locations around beautiful forests,positif,0.5994,positif
belongs to a tourist spot,netral,0.0,netral
fire flames rain good tour information packaging bojonegoro tourist attraction level,netral,0.5423,positif
the eternal flame tour of its culinary hall,netral,0.0,netral
master historical tour,netral,0.0,netral
it is suitable for groups of children to teach the history of bojonegoro entrance tickets for tourism in rupiahs parking fees in rupiahs,netral,0.0,netral
historical tourist destinations are an alternative to get rid of fatigue cheap ticket prices access roads are pretty good the atmosphere is cool the trees are clean the level is good,positif,0.9001,positif
if selling roasted corn fire corn tell the damaged stall to look at the photo,netral,-0.7269,negatif
kayangan api bojonegoro entrance ticket if i m not mistaken the car park is a maintece area with a toilet the water faucet is dead dirty the sink the water faucet is broken the water drips,negatif,-0.8477,negatif
tourism during the king s era should be preserved and maintain its culture,netral,0.0,netral
beautiful natural tourism,positif,0.7506,positif
stop by here a spacious tourist location neat eat a variety of shady shady trees,positif,0.2023,positif
okay baget,positif,0.2263,positif
check out the complete review on the wandering boy s youtube channel,netral,0.0,netral
good place visit,netral,0.4404,positif
dense teak forest warm fire roasted corn,netral,-0.128,negatif
same fun,netral,0.5106,positif
nice clean comfortable place to picnic with friends family prayer room and clean toilets suitable for not hot afternoons,positif,0.9274,positif
warm night,netral,0.2263,positif
visit one of the historical tourist destinations in bojonegoro that has the potential for eternal fire,netral,-0.34,negatif
educational tours plus children s public facilities,netral,0.0,netral
kayangan api tourism is suitable for family holidays a comfortable place in the shade of pepoho the source of natural fire goes out,positif,0.7184,positif
lush place with complete facilities at affordable ticket prices,positif,0.0,netral
kayangan api tour bojonegoro regency rp entrance ticket for adults free for children unjung beautiful geological phenomenon fire extinguishes flame pops up a stone pillar a source of fire shoots natural gas from the bowels of the earth unjung for heirloom weapons meditation without selling location souvenirs,netral,0.4588,positif
clean,positif,0.4019,positif
red suit,netral,0.0,netral
comfortable place,positif,0.5106,positif
nice cool location thin thin holiday,positif,0.7783,positif
well the name of the public area,netral,0.2732,positif
clean comfortable place,positif,0.7184,positif
it s pretty good the location is clean,positif,0.8316,positif
,netral,0.0,netral
his historical tour is cool with a mystical impression of the forest forging weapons at the time of the majapahit kings,netral,0.0772,positif
bojonegoro tourism where is the source of the flame gas that manages tourism,netral,0.0,netral
worth visiting the entrance fee rp person,netral,0.2263,positif
complete facilities advice to visit using anti mosquito lotion,netral,-0.3182,negatif
clean beautiful comfortable,positif,0.872,positif
angkling religion,netral,0.0,netral
one of the bojonegoro tours the entrance ticket to the meditation parking location the fire went out,netral,-0.34,negatif
santa s convenient location,netral,0.0,netral
add to the faith that allah swt guides one spiritually one of the bojonegoro api heaven visits,netral,0.7269,positif
phenomenal paradise tour,netral,0.6369,positif
cat nippon paint cat indonesia,netral,0.0,netral
a flower that has attractive facilities,netral,0.4404,positif
eternal flame corn,netral,0.0,netral
comfortable not hot,positif,0.5106,positif
the smell of fire guys you don t know my smell is really cool a historical place,netral,0.0498,positif
its suitable recreation of historical theme,netral,0.0,netral
suitable for family holiday tourism hopefully flower tourism for the prehistoric residence of the majapahit king,netral,0.6597,positif
history tour hook king majapahit even national sport source take fire pon sorry forgot to renovate comfortable tour pull manage forest place factor ama visit pay attention to pilgrimage teg safe comfortable wis ngono ae,netral,0.7506,positif
kayangan api one of the bojonegoro tourist destinations is a dander located km from downtown bojonegoro parking area entrance ticket reach,netral,0.0258,positif
recommended hot lonely neglect manage,negatif,-0.5719,negatif
advice come here late at night avoid hot weather what afternoon,netral,-0.296,negatif
a tourist object that impresses but it s a shame that the toilet water support facilities have to pay attention,netral,-0.0387,negatif
continue to improve,netral,0.4404,positif
clean cool place easy to expect,positif,0.7845,positif
one of bojonegoro s natural recreation facilities on an exotic friday mystical night,netral,0.3612,positif
good pain therapy,positif,-0.1027,negatif
the natural fire is alive and dead in the tourist arena in the bojonegoro area through the fire area near the photo site of the eternal fire the keris blade is upright information for the eternal fire keris,netral,-0.8316,negatif
reasonable,netral,0.0,netral
the level of promotion on social media bureau nets the facilities are quite complete traditional pre wedding photo kiosks,netral,0.0,netral
master s history of making keris,netral,0.0,netral
a place full of history,netral,0.0,netral
travel requirements historical building tidy nice std ticket price bright tourism history etc maybe a lot of added impressions of interaction can also music according to the theme of the mini theater tour schedule so that the atmosphere is not quiet in a good clean level more comfortable active social media as a promotional media good luck,netral,0.9741,positif
