"text_tokens","klasifikasi"
"Javanese religious and cultural tourism is clean, toilets are clean","positif"
"visit satisfied fasum toilet key toilet prayer room lights off clean good tourists visit disappointed disappointed Bojonegoro matoh","negatif"
"Good","positif"
"nice full of religious nuances feels like the era of the kings","positif"
"beautiful cool","netral"
"full of legends","netral"
"it's suitable for relaxing to breathe the hustle and bustle of the city, because it's really good to enter a teak wood forest, the price of admission is cheap, but only a few thousand people have already parked at the heavenly gate, the sights are so far away that I got lost hehe","netral"
"a good tour to get to know the history of natural geology because it's the natural gas history of the master of the keris","positif"
"rock flames","netral"
"If you look at the fire in amazement, you try to come at night, it's peaceful","netral"
"beautiful","netral"
"beautiful place suitable for family trips","positif"
"beautiful, complete with toilet facilities, prayer room, photo spot of the pavilion, cool, suitable for family gatherings, teak wood, choose natural tourism in Bojonegoro so you don't get bored","positif"
"sustainable cultural tourism icon promotion brings economic impact historical value","netral"
"the eternal fire of the blukutuk well for mass ruwat events in the holy khitmad year","netral"
"cheap tours, people, instagramable locations, around beautiful forests","positif"
"belongs to a tourist spot","netral"
"fire flames rain good tour information packaging Bojonegoro tourist attraction level","netral"
"the eternal flame tour of its culinary hall","netral"
"master historical tour","netral"
"it is suitable for groups of children to teach the history of Bojonegoro. Entrance tickets for tourism in rupiahs, parking fees in rupiahs","netral"
"Historical tourist destinations are an alternative to get rid of fatigue, cheap ticket prices, access roads are pretty good, the atmosphere is cool, the trees are clean, the level is good","positif"
"If selling roasted corn, fire corn, tell the damaged stall to look at the photo","netral"
"Kayangan Api Bojonegoro entrance ticket, if I'm not mistaken, the car park is a maintenance area with a toilet, the water faucet is dead, dirty, the sink, the water faucet is broken, the water drips","negatif"
"tourism during the king's era should be preserved and maintain its culture","netral"
"beautiful natural tourism","positif"
"stop by here, a spacious tourist location, neat, eat a variety of shady shady trees","positif"
"okay baget","positif"
"Check out the complete review on the wandering boy's YouTube channel","netral"
"good place visit","netral"
"dense teak forest, warm fire, roasted corn","netral"
"same fun","netral"
"nice clean comfortable place to picnic with friends, family, prayer room and clean toilets suitable for not hot afternoons","positif"
"warm night","netral"
"visit one of the historical tourist destinations in Bojonegoro that has the potential for eternal fire","netral"
"educational tours plus children's public facilities","netral"
"Kayangan Api tourism is suitable for family holidays, a comfortable place in the shade of Pepoho, the source of natural fire goes out","positif"
