text_tokens,Compound_Score,Sentiments
"Javanese religious and cultural tourism is clean, toilets are clean",0.6597,Positif
visit satisfied fasum toilet key toilet prayer room lights off clean good tourists visit disappointed disappointed Bojonegoro matoh,0.296,Positif
Good,0.4404,Positif
nice full of religious nuances feels like the era of the kings,0.6486,Positif
beautiful cool,0.7351,Positif
full of legends,0.0,Netral
"it's suitable for relaxing to breathe the hustle and bustle of the city, because it's really good to enter a teak wood forest, the price of admission is cheap, but only a few thousand people have already parked at the heavenly gate, the sights are so far away that I got lost hehe",0.7748,Positif
a good tour to get to know the history of natural geology because it's the natural gas history of the master of the keris,0.7845,Positif
rock flames,0.0,Netral
"If you look at the fire in amazement, you try to come at night, it's peaceful",0.6486,Positif
beautiful,0.5994,Positif
beautiful place suitable for family trips,0.5994,Positif
"beautiful, complete with toilet facilities, prayer room, photo spot of the pavilion, cool, suitable for family gatherings, teak wood, choose natural tourism in Bojonegoro so you don't get bored",0.8595,Positif
sustainable cultural tourism icon promotion brings economic impact historical value,0.34,Positif
the eternal fire of the blukutuk well for mass ruwat events in the holy khitmad year,-0.0772,Negatif
"cheap tours, people, instagramable locations, around beautiful forests",0.5994,Positif
belongs to a tourist spot,0.0,Netral
fire flames rain good tour information packaging Bojonegoro tourist attraction level,0.5423,Positif
the eternal flame tour of its culinary hall,0.0,Netral
master historical tour,0.0,Netral
"it is suitable for groups of children to teach the history of Bojonegoro. Entrance tickets for tourism in rupiahs, parking fees in rupiahs",0.0,Netral
"Historical tourist destinations are an alternative to get rid of fatigue, cheap ticket prices, access roads are pretty good, the atmosphere is cool, the trees are clean, the level is good",0.9001,Positif
"If selling roasted corn, fire corn, tell the damaged stall to look at the photo",-0.7269,Negatif
"Kayangan Api Bojonegoro entrance ticket, if I'm not mistaken, the car park is a maintenance area with a toilet, the water faucet is dead, dirty, the sink, the water faucet is broken, the water drips",-0.8477,Negatif
tourism during the king's era should be preserved and maintain its culture,0.0,Netral
beautiful natural tourism,0.7506,Positif
"stop by here, a spacious tourist location, neat, eat a variety of shady shady trees",0.2023,Positif
okay baget,0.2263,Positif
Check out the complete review on the wandering boy's YouTube channel,0.0,Netral
good place visit,0.4404,Positif
"dense teak forest, warm fire, roasted corn",-0.128,Negatif
same fun,0.5106,Positif
"nice clean comfortable place to picnic with friends, family, prayer room and clean toilets suitable for not hot afternoons",0.9274,Positif
warm night,0.2263,Positif
visit one of the historical tourist destinations in Bojonegoro that has the potential for eternal fire,-0.34,Negatif
educational tours plus children's public facilities,0.0,Netral
"Kayangan Api tourism is suitable for family holidays, a comfortable place in the shade of Pepoho, the source of natural fire goes out",0.7184,Positif
Lush place with complete facilities at affordable ticket prices,0.0,Netral
"Kayangan Api Tour, Bojonegoro Regency, Rp. Entrance ticket for adults, free for children, unjung beautiful geological phenomenon, fire extinguishes, flame pops up, a stone pillar, a source of fire, shoots natural gas from the bowels of the earth, unjung for heirloom weapons, meditation without selling location souvenirs",0.4588,Positif
clean,0.4019,Positif
red suit,0.0,Netral
comfortable place,0.5106,Positif
nice cool location thin thin holiday,0.7783,Positif
well the name of the public area,0.2732,Positif
clean comfortable place,0.7184,Positif
"it's pretty good, the location is clean",0.8316,Positif
,0.0,Netral
His historical tour is cool with a mystical impression of the forest forging weapons at the time of the Majapahit kings,0.0772,Positif
Bojonegoro tourism where is the source of the flame gas that manages tourism,0.0,Netral
worth visiting the entrance fee Rp. person,0.2263,Positif
Complete facilities. Advice to visit using anti-mosquito lotion,0.0,Netral
clean beautiful comfortable,0.872,Positif
angkling religion,0.0,Netral
"one of the Bojonegoro tours, the entrance ticket to the meditation parking location, the fire went out",-0.34,Negatif
Santa's convenient location,0.0,Netral
add to the faith that Allah swt guides one spiritually one of the Bojonegoro Api Heaven visits,0.7269,Positif
phenomenal paradise tour,0.6369,Positif
cat nippon paint cat indonesia,0.0,Netral
a flower that has attractive facilities,0.4404,Positif
eternal flame corn,0.0,Netral
comfortable not hot,0.5106,Positif
"the smell of fire, guys, you don't know, my smell is really cool, a historical place",0.0498,Positif
its suitable recreation of historical theme,0.0,Netral
"suitable for family holiday tourism, hopefully flower tourism for the prehistoric residence of the Majapahit king",0.6597,Positif
history tour hook king majapahit even national sport source take fire pon sorry forgot to renovate comfortable tour pull manage forest place factor ama visit pay attention to pilgrimage teg safe comfortable wis ngono ae,0.7506,Positif
"Kayangan Api, one of the Bojonegoro tourist destinations, is a dander, located km from downtown Bojonegoro, parking area, entrance ticket, reach",0.0258,Positif
recommended hot lonely neglect manage,-0.5719,Negatif
advice come here late at night avoid hot weather what afternoon,-0.296,Negatif
a tourist object that impresses but it's a shame that the toilet water support facilities have to pay attention,-0.0387,Negatif
continue to improve,0.4404,Positif
clean cool place easy to expect,0.7845,Positif
One of Bojonegoro's natural recreation facilities on an exotic Friday mystical night,0.3612,Positif
good pain therapy,-0.1027,Negatif
the natural fire is alive and dead in the tourist arena in the Bojonegoro area through the fire area near the photo site of the eternal fire. The keris blade is upright. Information for the eternal fire keris.,-0.8316,Negatif
reasonable,0.0,Netral
"the level of promotion on social media, bureau nets, the facilities are quite complete, traditional pre-wedding photo kiosks",0.0,Netral
Master's history of making keris,0.0,Netral
a place full of history,0.0,Netral
travel requirements historical building tidy nice std ticket price bright tourism history etc maybe a lot of added impressions of interaction can also music according to the theme of the mini theater tour schedule so that the atmosphere is not quiet in a good clean level more comfortable active social media as a promotional media good luck,0.9741,Positif
nice tour enjoys emitting eternal fire truly the creation of the almighty Allah,0.8271,Positif
"nice place with a lot of history, very cold, very cold, a place that feels like coming home",0.6486,Positif
good fire,0.128,Positif
one of the Bojonegoro family tours must visit the iconic one of Bojonegoro city torch fire olympic take easy tourist access spacious parking entrance fee thousand people,0.128,Positif
Net level of distribution does not include prices,0.0,Netral
God's creative wisdom,0.743,Positif
"nice place, it's a shame to take care of the water supply, sometimes I don't apologize for managing it",0.3826,Positif
suitable for educational tourism for the younger generation of cultural heritage,0.0,Netral
deserted,0.0,Netral
wide place,0.0,Netral
one of the wonders of the world,0.0,Netral
Kayangan fire is the eternal source of fire in the teak forest,-0.5859,Negatif
parking ticket prices access to clean toilet locations,0.4019,Positif
exciting exciting night,0.7506,Positif
nice strategic comfortable place easy to reach,0.8442,Positif
one of the heirs of the ancestors should be preserved,0.0,Netral
"it's good, the heavenly fire tour",0.6705,Positif
nice cool place to have a coffee walk,0.6249,Positif
do not regret here,0.3252,Positif
reasonable,0.0,Netral
beautiful culture of Kayangan Api tourism which is nice to visit,0.7717,Positif
oh it's good,0.4404,Positif
I came here to find photos that really make me nostalgic for the eternal flame,0.0,Netral
"the road is good, the ticket bend is quite reach, yes, historical tourism",0.7408,Positif
angling charity,0.4215,Positif
thank god,0.5574,Positif
"clean spacious parking lot, clean prayer room, clean toilets",0.7964,Positif
"the location is comfortable, cool, the ticket price reaches the true magic of nature, which is guaranteed to be regretful",0.6908,Positif
its really good,0.4927,Positif
beautiful,0.5994,Positif
"Wow, what's eternal, there's no real rain",0.3818,Positif
"Really amazed by the nature of the heavenly fire created by Allah SWT, the fire does not go out and it rains",0.6901,Positif
From history,0.0,Netral
Halfway Lan Cong,0.0,Netral
the price of ancestral history for generations that deserve a holiday visit,0.4019,Positif
Elysium,0.0,Netral
it takes a creative touch to create an alternative to a relaxing santuy location,0.802,Positif
"Not bad, the front level of the construction hook imitates the hallmark of bales",0.431,Positif
Bojonegoro tourism,0.0,Netral
make you feel comfortable,0.5106,Positif
"Kayangan Api tour is a worthy tour to visit, believe in the fire of the Majapahit era, Mbah Kriyo Sumo, for heirlooms, Ms. Kriyo moved hut, changed the name of Mpu Supo Keris, who knows the eternal fire, the source of water that is boiling but hot, the water doesn't overflow, it doesn't rain, but the fire doesn't extinguish the rain water from the Blekutuk well is used for gilding heirlooms for mpu supo mpu supo sure moksa the place to reach the Kayangan Api tour is not difficult because the net is good.",0.8278,Positif
"Nature tourism is really amazed by the charm of the spacious parking lot, which feels like the atmosphere of the king's era",0.8268,Positif
solid,0.1531,Positif
Interesting educational tour,0.4019,Positif
Pemkab added tourist facilities,0.0,Netral
manage,0.0,Netral
"come here right after work, it's not crowded",0.0,Netral
"come here when I work, it's not crowded, the road is smooth, the location is spacious, it's good",0.4404,Positif
eternal fire,-0.34,Negatif
"record the history of the fire of heaven, believe that the era of the king of Majapahit, the fire is often tapa, tapa magic, the fire appears, tapa comes home, tapa brings a forest fire, immediately ignites the place where the fire is located in heaven",-0.5267,Negatif
"nice place, really cool cuyy, the road to the location is good, smooth",0.807,Positif
,0.0,Netral
bojonegoro iconic tour,0.0,Netral
"I like cool places, the location of the forest area, the nuances of the king's era, the road leads to cor muluuus",0.5859,Positif
family tourism in the Bojonegoro region must come,0.0,Netral
,0.0,Netral
criticism,-0.4404,Negatif
good fire night,0.128,Positif
rare and unique,0.0,Netral
close at night,0.0,Netral
cool place,0.3182,Positif
"the eternal flame goes out, it's rare to exist, it's unique to Bojonegoro, the Pujasera Kayangan Api",0.0,Netral
"no, no, no, no, no, no, no, no, complete facilities, care, salute, service for the people who are on guard",0.4939,Positif
natural cold air,0.3612,Positif
